sample_index,ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT
0,0.5223502492440959,0.6082226174286014,0.6726618705035973,0.6970387243735765,0.678642714570858,0.8218829516539441,0.5340314136125656,0.5130315500685872,0.49275362318840593,0.7989556135770236,0.49275362318840593,0.7527084314649083,0.6754966887417222,0.5066451872734596,0.49275362318840593,0.8230912476722534
1,0.5223502492440959,0.6082226174286014,0.6726618705035973,0.6970387243735765,0.678642714570858,0.8218829516539441,0.5340314136125656,0.5130315500685872,0.49275362318840593,0.7989556135770236,0.49275362318840593,0.7527084314649083,0.6754966887417222,0.5066451872734596,0.49275362318840593,0.8230912476722534
2,0.5223502492440959,0.6082226174286014,0.6726618705035973,0.6970387243735765,0.678642714570858,0.8218829516539441,0.5340314136125656,0.5130315500685872,0.49275362318840593,0.7989556135770236,0.49275362318840593,0.7527084314649083,0.6754966887417222,0.5066451872734596,0.49275362318840593,0.8230912476722534
3,0.4639616752558611,0.4771831910702562,0.49275362318840593,0.4383954154727795,0.47353760445682463,0.4347240915208615,0.48341232227488157,0.46517412935323404,0.40476190476190466,0.5100000000000002,0.37310797174571153,0.4491287240022486,0.7223796033994341,0.5290159798149707,0.3524471854087392,0.454732510288066
4,0.4639616752558611,0.4771831910702562,0.49275362318840593,0.4383954154727795,0.47353760445682463,0.4347240915208615,0.48341232227488157,0.46517412935323404,0.40476190476190466,0.5100000000000002,0.37310797174571153,0.4491287240022486,0.7223796033994341,0.5290159798149707,0.3524471854087392,0.454732510288066
5,0.5164417871859086,0.5001720578114248,0.4882506527415145,0.4567164179104479,0.4644808743169402,0.406033940917662,0.4811320754716982,0.46517412935323404,0.42499999999999943,0.5349650349650351,0.3698424606151539,0.4491287240022486,0.7083333333333329,0.5138888888888891,0.3573709419904207,0.4501018329938902
6,0.5898311340776976,0.7379109023987817,0.9816272965879265,0.7989556135770236,0.9604519774011308,0.8218829516539441,0.68,0.9373433583959899,0.7234042553191476,0.8973607038123169,0.6733439562941044,0.9383440986494422,0.688259109311741,0.9729311678267596,0.6152084287677513,0.8080438756855576
7,0.7144294176819066,0.8601864181091878,0.6328257191201354,0.7200000000000001,0.6028368794326247,0.9486049926578559,0.6800000000000003,0.9144254278728607,0.7555555555555564,0.8973607038123169,0.9037580201649861,0.9785670545009186,0.8900523560209428,0.799745708836618,0.9274861878453036,0.8387096774193551
8,0.6349458627197795,0.8601864181091878,0.5165745856353592,0.5415929203539824,0.5029585798816572,0.49275362318840593,0.6845637583892619,0.7974413646055438,0.6181818181818192,0.7445255474452555,0.5365499727915836,0.6283916633896974,0.5064548162859979,0.5897796530707925,0.6573666177190407,0.8717948717948719
9,0.3487750313744759,0.6749477594613421,0.34375000000000006,0.9161676646706588,0.9604519774011291,1.0,0.4615384615384617,0.6631205673758866,0.35416666666666685,0.4383954154727795,0.3456415050245385,0.7172351885098746,0.9479553903345737,0.7497020262216926,0.39610676891313973,0.5312500000000001
10,0.3487750313744759,0.6749477594613421,0.34375000000000006,0.9161676646706588,0.9604519774011291,1.0,0.4615384615384617,0.6631205673758866,0.35416666666666685,0.4383954154727795,0.3456415050245385,0.7172351885098746,0.9479553903345737,0.7497020262216926,0.39610676891313973,0.5312500000000001
11,0.34352662976299353,0.838477069512547,0.3459759481961148,0.9562499999999999,0.9604519774011291,1.0,0.4834123222748817,0.8060344827586208,0.3469387755102044,0.4383954154727795,0.3428372739916552,0.7653256704980844,1.0,0.9472891566265061,0.39610676891313973,0.5443349753694582
12,0.3334898523503948,0.7758206565252203,0.35051546391752586,0.8793103448275863,0.9604519774011291,1.0,0.4975609756097562,0.7890295358649789,0.3399999999999998,0.4567164179104479,0.3456415050245385,0.7653256704980844,1.0,0.9472891566265061,0.4066000605510144,0.5377128953771291
13,0.35418629135036384,0.5972878569960963,0.3459759481961148,0.845303867403315,0.9604519774011291,1.0,0.5024630541871923,0.8423423423423424,0.3333333333333333,0.4567164179104479,0.3456415050245385,0.7653256704980844,1.0,0.9472891566265061,0.4176644378790236,0.5443349753694582
