ASM_A_MeanT,ASD_A_SDevT,BSM_B_MeanT,BSD_B_SDevT,CSM_C_MeanT,CSD_C_SDevT,ISM_I_MeanT,ISD_I_SDevT,ALM_A_MeanT,ALD_A_SDevT,BLM_B_MeanT,BLD_B_SDevT,CLM_C_MeanT,CLD_C_SDevT,ILM_I_MeanT,ILD_I_SDevT,DFlow,DGap
0.055851063829787176,0.18713450292397663,0.2636363636363637,0.2888888888888889,0.7300000000000004,0.39473684210526316,0.07619047619047616,0.03896103896103896,0.0,0.6222222222222222,0.0,0.34042553191489366,0.7333333333333331,0.9729729729729729,0.0,0.39560439560439564,0.5,1.0
0.055851063829787176,0.18713450292397663,0.2636363636363637,0.2888888888888889,0.7300000000000004,0.39473684210526316,0.07619047619047616,0.03896103896103896,0.0,0.6222222222222222,0.0,0.34042553191489366,0.7333333333333331,0.9729729729729729,0.0,0.39560439560439564,0.5,1.0
0.055851063829787176,0.18713450292397663,0.2636363636363637,0.2888888888888889,0.7300000000000004,0.39473684210526316,0.07619047619047616,0.03896103896103896,0.0,0.6222222222222222,0.0,0.34042553191489366,0.7333333333333331,0.9729729729729729,0.0,0.39560439560439564,0.5,1.0
0.4388297872340418,0.46783625730994155,0.5,0.37777777777777777,0.45999999999999996,0.368421052631579,0.4809523809523809,0.4415584415584416,0.285714285714285,0.5333333333333334,0.1839080459770115,0.4042553191489362,0.8133333333333338,0.5675675675675675,0.10759493670886108,0.4175824175824176,1.0,0.5
0.4388297872340418,0.46783625730994155,0.5,0.37777777777777777,0.45999999999999996,0.368421052631579,0.4809523809523809,0.4415584415584416,0.285714285714285,0.5333333333333334,0.1839080459770115,0.4042553191489362,0.8133333333333338,0.5675675675675675,0.10759493670886108,0.4175824175824176,1.0,0.5
0.5452127659574452,0.5146198830409356,0.4909090909090909,0.4222222222222222,0.4400000000000004,0.2894736842105263,0.47619047619047616,0.4415584415584416,0.342857142857141,0.5777777777777778,0.17241379310344826,0.4042553191489362,0.7999999999999995,0.5405405405405406,0.126582278481013,0.40659340659340665,1.0,0.5
0.1622340425531924,0.3274853801169591,0.4909090909090909,0.6222222222222222,0.4800000000000004,0.6052631578947368,0.27142857142857135,0.4675324675324675,0.314285714285713,0.44444444444444453,0.26436781609195403,0.46808510638297873,0.7200000000000001,0.5135135135135135,0.19620253164556997,0.38461538461538464,0.5,1.0
0.6941489361702109,0.42105263157894735,0.7818181818181819,0.3111111111111111,0.1800000000000006,0.47368421052631576,0.7285714285714284,0.45454545454545453,0.6571428571428565,0.44444444444444453,0.5517241379310346,0.4893617021276596,0.4400000000000001,0.6216216216216216,0.537974683544304,0.40659340659340665,0.5,0.5
0.779255319148934,0.42105263157894735,0.9545454545454547,0.08888888888888889,0.020000000000000462,0.0,0.7238095238095238,0.3766233766233766,0.7999999999999989,0.6666666666666667,0.9195402298850577,0.21276595744680854,0.0266666666666661,0.16216216216216217,0.7531645569620253,0.4285714285714286,0.5,0.5
0.9069148936170176,0.23391812865497078,0.9272727272727274,0.044444444444444446,0.020000000000000462,0.0,0.5666666666666667,0.24675324675324675,0.8857142857142855,0.6222222222222222,0.9195402298850577,0.19148936170212766,0.0266666666666661,0.16216216216216217,0.7405063291139241,0.4285714285714286,0.0,0.5
