method,lambda1,lambda2,lambda3,rmse_dflow,mae_dflow,r2_dflow,rmse_dgap,mae_dgap,r2_dgap,joint_rmse_mean,joint_mae_mean,joint_r2_mean,collaboration_rmse,accuracy_dflow,accuracy_dgap,joint_pair_accuracy
simplified_forward_recommendation,,4.0,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.15617376188860607,0.024390243902439025,0.9444109671587828,0.15617376188860607,0.024390243902439025,0.8939612087702311,0.9789308160083499,0.975609756097561,0.975609756097561,0.9512195121951219
simplified_forward_recommendation,,2.0,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.17889661076249203,0.03252032520325203,0.875431531156492,0.9453658642323888,0.975609756097561,0.959349593495935,0.9349593495934959
simplified_forward_recommendation,,4.0,0.5,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.20161945963637795,0.04065040650406504,0.9073516119313046,0.17889661076249203,0.03252032520325203,0.875431531156492,0.9453658642323888,0.975609756097561,0.959349593495935,0.9349593495934959
simplified_forward_recommendation,,1.0,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.3606678538669729,0.13008130081300814,0.7035251581801747,0.2584208078777895,0.07723577235772358,0.773518304280927,0.8197625849402624,0.975609756097561,0.8699186991869918,0.8455284552845529
simplified_forward_recommendation,,2.0,0.5,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.3606678538669729,0.13008130081300814,0.7035251581801747,0.2584208078777895,0.07723577235772358,0.773518304280927,0.8197625849402624,0.975609756097561,0.8699186991869918,0.8455284552845529
simplified_forward_recommendation,,4.0,1.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.3606678538669729,0.13008130081300814,0.7035251581801747,0.2584208078777895,0.07723577235772358,0.773518304280927,0.8197625849402624,0.975609756097561,0.8699186991869918,0.8455284552845529
simplified_forward_recommendation,,0.5,0.25,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.4938647983247948,0.24390243902439024,0.44410967158782766,0.32501928010670045,0.13414634146341464,0.6438105609847535,0.6477166901708139,0.975609756097561,0.7560975609756098,0.7317073170731707
simplified_forward_recommendation,,1.0,0.5,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.4938647983247948,0.24390243902439024,0.44410967158782766,0.32501928010670045,0.13414634146341464,0.6438105609847535,0.6477166901708139,0.975609756097561,0.7560975609756098,0.7317073170731707
simplified_forward_recommendation,,2.0,1.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.4938647983247948,0.24390243902439024,0.44410967158782766,0.32501928010670045,0.13414634146341464,0.6438105609847535,0.6477166901708139,0.975609756097561,0.7560975609756098,0.7317073170731707
simplified_forward_recommendation,,4.0,2.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.4938647983247948,0.24390243902439024,0.44410967158782766,0.32501928010670045,0.13414634146341464,0.6438105609847535,0.6477166901708139,0.975609756097561,0.7560975609756098,0.7317073170731707
simplified_forward_recommendation,,0.5,0.5,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.34480435577884366,0.15447154471544716,0.5974863669504058,0.6274258088907447,0.975609756097561,0.7154471544715447,0.6991869918699187
simplified_forward_recommendation,,1.0,1.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.34480435577884366,0.15447154471544716,0.5974863669504058,0.6274258088907447,0.975609756097561,0.7154471544715447,0.6991869918699187
simplified_forward_recommendation,,2.0,2.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.34480435577884366,0.15447154471544716,0.5974863669504058,0.6274258088907447,0.975609756097561,0.7154471544715447,0.6991869918699187
simplified_forward_recommendation,,4.0,4.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.34480435577884366,0.15447154471544716,0.5974863669504058,0.6274258088907447,0.975609756097561,0.7154471544715447,0.6991869918699187
simplified_forward_recommendation,,0.5,1.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.6807456457050177,0.4634146341463415,-0.05619162398312749,0.4184597037968119,0.24390243902439027,0.39365991319927596,0.5189460034276573,0.975609756097561,0.5365853658536586,0.5284552845528455
simplified_forward_recommendation,,1.0,2.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.6807456457050177,0.4634146341463415,-0.05619162398312749,0.4184597037968119,0.24390243902439027,0.39365991319927596,0.5189460034276573,0.975609756097561,0.5365853658536586,0.5284552845528455
simplified_forward_recommendation,,2.0,4.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.6807456457050177,0.4634146341463415,-0.05619162398312749,0.4184597037968119,0.24390243902439027,0.39365991319927596,0.5189460034276573,0.975609756097561,0.5365853658536586,0.5284552845528455
simplified_forward_recommendation,,0.5,2.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.8115026712006891,0.6422764227642277,-0.5009038867128652,0.4838382165446476,0.33333333333333337,0.1713037818344071,0.42457249716069057,0.975609756097561,0.36585365853658536,0.35772357723577236
simplified_forward_recommendation,,1.0,4.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,0.8115026712006891,0.6422764227642277,-0.5009038867128652,0.4838382165446476,0.33333333333333337,0.1713037818344071,0.42457249716069057,0.975609756097561,0.36585365853658536,0.35772357723577236
simplified_forward_recommendation,,0.5,4.0,0.15617376188860607,0.024390243902439025,0.8435114503816794,1.1617200591945374,0.8943089430894309,-2.075926483880687,0.6589469105415717,0.45934959349593496,-0.6162075167495038,0.25432857633721145,0.975609756097561,0.3333333333333333,0.3252032520325203
